scientific_name,longitude,latitude
pseudopodoces humilis,102.58,35.28
pseudopodoces humilis,98.59,35.29
pseudopodoces humilis,102.5,35.31
pseudopodoces humilis,99.07,35.34
pseudopodoces humilis,102.2,35.36
pseudopodoces humilis,99.31,35.39
pseudopodoces humilis,99.43,35.4
pseudopodoces humilis,102.52,35.41
pseudopodoces humilis,99.36,35.42
pseudopodoces humilis,102.57,35.44
pseudopodoces humilis,102.44,35.45
pseudopodoces humilis,102.33,35.47
pseudopodoces humilis,102.4,35.49
pseudopodoces humilis,99.52,35.5
pseudopodoces humilis,93.91,35.52
pseudopodoces humilis,99.99,35.59
pseudopodoces humilis,94.07,35.64
pseudopodoces humilis,98.48,35.65
pseudopodoces humilis,98.56,35.67
pseudopodoces humilis,102.27,35.71
pseudopodoces humilis,94.08,35.73
pseudopodoces humilis,94.29,35.75
pseudopodoces humilis,98.28,35.82
pseudopodoces humilis,94.37,35.89
pseudopodoces humilis,97.89,35.99
pseudopodoces humilis,97.82,36.02
pseudopodoces humilis,101.57,36.13
pseudopodoces humilis,101.92,36.14
pseudopodoces humilis,80.83,36.3
pseudopodoces humilis,96.57,36.35
pseudopodoces humilis,96.19,36.4
pseudopodoces humilis,75.44,36.86
pseudopodoces humilis,75.45,37.29
pseudopodoces humilis,90.32,37.3
pseudopodoces humilis,86.78,37.31
pseudopodoces humilis,89.71,37.58
pseudopodoces humilis,89.83,37.65
pseudopodoces humilis,91.8,37.73
